pix 0 0 0
pix 0 0 1
pix 0 0 2
pix 0 0 3
pix 0 0 4
pix 0 0 5
pix 0 0 6
pix 0 1 0
pix 0 1 1
pix 0 1 2
pix 0 1 3
pix 0 1 4
pix 0 1 5
pix 0 1 6
pix 0 2 3
pix 0 2 6
pix 0 3 3
pix 0 3 6
pix 0 4 3
pix 0 4 6
pix 0 5 3
pix 0 5 6
pix 0 6 3
pix 0 6 6
pix 0 7 3
pix 0 7 4
pix 0 7 5
pix 0 7 6
pix 0 8 4
pix 0 8 5
pix 0 10 6
pix 0 11 5
pix 0 11 6
pix 0 12 4
pix 0 12 5
pix 0 13 0
pix 0 13 1
pix 0 13 2
pix 0 13 3
pix 0 13 4
pix 0 14 0
pix 0 14 1
pix 0 14 2
pix 0 14 3
pix 0 14 4
pix 0 15 4
pix 0 15 5
pix 0 16 5
pix 0 16 6
pix 0 17 6
pix 0 19 0
pix 0 19 6
pix 0 20 0
pix 0 20 1
pix 0 20 5
pix 0 20 6
pix 0 21 1
pix 0 21 2
pix 0 21 4
pix 0 21 5
pix 0 22 2
pix 0 22 3
pix 0 22 4
pix 0 23 3
pix 0 24 2
pix 0 24 3
pix 0 24 4
pix 0 25 1
pix 0 25 2
pix 0 25 4
pix 0 25 5
pix 0 26 0
pix 0 26 1
pix 0 26 5
pix 0 26 6
pix 0 27 0
pix 0 27 6
pix 0 29 0
pix 0 29 1
pix 0 29 2
pix 0 29 3
pix 0 30 0
pix 0 30 1
pix 0 30 2
pix 0 30 3
pix 0 30 4
pix 0 31 2
pix 0 31 4
pix 0 31 5
pix 0 32 2
pix 0 32 5
pix 0 32 6
pix 0 33 2
pix 0 33 6
pix 0 34 2
pix 0 34 5
pix 0 34 6
pix 0 35 2
pix 0 35 4
pix 0 35 5
pix 0 36 0
pix 0 36 1
pix 0 36 2
pix 0 36 3
pix 0 36 4
pix 0 37 0
pix 0 37 1
pix 0 37 2
pix 0 37 3
pix 0 39 0
pix 0 39 1
pix 0 39 2
pix 0 39 3
pix 0 39 4
pix 0 39 5
pix 0 39 6
pix 0 40 0
pix 0 40 1
pix 0 40 2
pix 0 40 3
pix 0 40 4
pix 0 40 5
pix 0 40 6
pix 0 41 3
pix 0 41 6
pix 0 42 3
pix 0 42 6
pix 0 43 3
pix 0 43 6
pix 0 44 2
pix 0 44 3
pix 0 44 6
pix 0 45 1
pix 0 45 2
pix 0 45 3
pix 0 45 6
pix 0 46 0
pix 0 46 1
pix 0 46 3
pix 0 46 4
pix 0 46 5
pix 0 46 6
pix 0 47 0
pix 0 47 4
pix 0 47 5
